period,new_audited_entries,cumulative_audited_entries
2023-11,1,1
2023-12,0,1
2024-01,0,1
2024-02,0,1
2024-03,0,1
2024-04,0,1
2024-05,0,1
2024-06,0,1
2024-07,0,1
2024-08,0,1
2024-09,0,1
2024-10,0,1
2024-11,0,1
2024-12,0,1
2025-01,0,1
2025-02,1,2
2025-03,0,2
2025-04,1,3
2025-05,1,4
2025-06,0,4
2025-07,0,4
2025-08,2,6
2025-09,6,12
2025-10,3,15
2025-11,6,21
2025-12,3,24
2026-01,1,25
2026-02,4,29
2026-03,6,35
2026-04,13,48
2026-05,28,76
2026-06,5,81
2026-07,81,162
2026-08,801,963
2026-09-through-24,1940,2903
